評論者,星等,評論內容
Harley Na,4,"服務很快速港奶很道地！
只是對我來說飯的份量有點多⋯⋯"
Aaron Zo,4,在台北市中心 保存的道地的港式茶餐廳的感覺，飯，麵類都值得嘗試
王浩基,5,道地港式料理，環境乾淨不會嘈雜，服務很好都笑笑的很親民
陳羿君,4,中午用餐人潮多，上菜速度很快，每天的特餐含飲料170元很划算。
豪哥哥,5,台北最好吃的茶餐廳，老闆親切，夥計熱情，蘿蔔糕一流，炒飯炒麵道地，通通都好吃。
潘韋乾,5,非常美味，每一道都很美味~^o^~ 而且價格蠻親民的∩__∩y
ying chen,5,很喜歡的台灣 香港茶餐廳，餐點味道很道地，老板很香港、親切！值得一去再去！
ks ai,3,偶爾去吃，口味不錯，價格便宜，人多，常須排隊！
Wanping Chen,3,味道好，但很快就收走盤子，讓人覺得很緊張！
Ray Chang,4,簡餐都還不錯，價位以此區域來說差不多就是這價位
王曉鳳,5,港示菜色便化多元話！服務親切！奶茶好喝！Cp質高推~
朱傑西,3,除了太油之外，味道還不錯。最推咖哩綜合和煎腸粉。
蔣漢諹,5,好吃....之前在金華街就來光顧了，搬到永康街之後還是繼續支持捧場
鍾富安,5,乾炒牛河真的很香～加店家的辣椒更夠味👍
yuri5123,5,老闆跟老闆娘，乃至於員工都很專業親切！地道的港味！
Ya Hui Wu,5,沙茶海鮮公仔麵料好多😃麵Q好吃！而且是態度好的港式餐廳👍🏻 …
昀珊,4,"價格不貴 口味不錯（大推素炒麵❤）
出菜速度快👍👍 …"
Jersheng Luo,3,"王小二過年一年不如一年
用料不到位 口味不行
比在政大公企的歲月了"
Jane fang,4,道地的港式口味 ，乾炒牛河好吃 ，上餐速度令人滿意
吳盈姍,5,好吃的港式茶餐廳
謝裴裴,4,"已經搬到永康街48號
味道到地，下午有營業，找不到吃的可以來試試"
吳定樺,5,只能說從小吃到大的好茲味，尤其鴛鴦更是都沒變過，
李東烈,4,我到永康幾乎都來這用餐只因菜色地道(我幾乎吃遍他們的菜)價格親民服務親切值得吃吃看
Mccoy Chen,5,CP值高的茶餐廳，人多要避熱門用餐時間，小朋友有提高增高的椅墊
石富元,4,相當不錯的香港式餐廳，個人覺得至少還相當道地。價格也還能接受。
Deborah Tseng,3,味道還OK、港式服務；內用為一次性餐具，扣分。
Jingo,1,炒麵的麵有點硬，很失望。其他還好，海鮮料很新鮮。
* * (‪FC‬),5,吃很久了 沒有失望過 很忙的時候店員態度也都很好
Chun-Kai Hsu,5,從小吃到大，最喜歡的港式茶餐廳
吳鎮安,4,東西好吃又不貴，份量也不少，位置不大，適合好友來聚聚！
Conan,2,東西不錯，但服務態度有待改進，還沒吃完一直被趕著收盤子，覺得很有壓力。
Julie Wu,4,"價格滿親民～
公仔麵偏鹹了！
蒸飯還不錯：）"
CHIAO CHIAO,4,好吃、上菜快，但飲料好貴 嗚嗚，橙汁雞排飯好吃~~~
Mimic,2,頭髮稍長的年輕男性工讀生，沒有微笑也沒有協助客人了解菜色。
Roro J,4,防疫期間還是人擠人，吃得怕怕的。食物很道地，建議外帶。
Cheng En Tien,4,餐點好吃、環境乾淨舒適。老闆應該是香港人，服務友善。
Mika Huang,4,"腐皮捲、銀芽炒麵不錯
福建燴飯、咖哩綜合還好"
Wei-Yi Ho,4,大部分的菜都滿好吃的，上菜快，服務人員也算友善
D.E.,5,"餐點非常的有趣
選擇多又好吃
是平常吃不到的味道
非常推薦"
Perry Chen,1,吃了7年 最近的體驗極差 服務態度比香港人還差
Yuping Chou,3,油很多煎得恰恰 很香很爽 吃多會膩
Wang Jo,5,"中規中矩  久久會想吃一次
腸粉好吃"
屁桃,1,"不適合我的口味 點了一大桌結果機乎一半沒吃
有點雷"
Ryen Cheng,5,餐食美味啊！服務超迅速!吃完離席立即一組人馬整潔環境!真讚!!!
amy Chen,4,物美價廉，服務親切。港式美食首選
yoway wang,4,"出餐快、環境整潔、服務親切。
口味還算道地"
Chenxi Yuan,1,和朋友吃完雙雙食物中毒，估計是肉類沒蒸熟或者變質
施璽鵬,5,人很多，排隊都要排一段時間，不過每一項餐點都蠻好吃的！
Austin Lee,1,味道有調整過，沒有港味，當成一般快餐店尚可~
李白,5,飲品好喝，東西好吃，人潮多時也不會排太久，推薦
高健華,5,價格實在，好吃選擇多，值得列入口袋名單的店👍👍 …
Joanna Li,5,東西超美味 好吃
杰哥吉拉（F.A.）,5,炒菜，小點，飲料都是一時之選，出菜快速排隊也不用等太久
S JEFF,3,東西不錯生意很好，但排隊順序亂很多比我晚到的都先入坐。
Susan Su,3,環境清潔。套餐飲料有港式特色！價格公道。上班族的最愛！
MH Chen,5,"餐點超好吃😋
服務人員的態度更是讓人讚不絕口👍🏻
超推👍🏻 …"
石文佳,5,楊枝甘露好喝😋 …
Ian Huang,5,"誠實評價：
東西還行，五顆星全部都是給櫃檯的漂亮的店員！！！"
Shang-shu Chiang,4,炒飯炒得粒粒分明，好吃，價位與一般港式茶餐廳差不多
Yu WEI,5,上餐速度很快，東西很好吃，老闆是香港人，老闆超級親切可愛！！
Jimmy Peng,1,港式料理一點都不正宗，如果喜歡港式料理的人不建議去吃。
郭惠瑜,4,餐點味道不錯，只是店內油煙味稍微重點
Morshues Lai (汪仔),3,便宜好吃的港式快餐，只是位子很小、店員有時候很兇。
葉俊華,2,個人感覺 食物味道偏鹹 CP值不是很好
陳俊翰JORDAN,3,買了個牛河 吃了這麼久  味道有點沒入味 還有漲價了！
咖哩基,4,乾炒牛河沒合我口味 有機會再試試別的菜嘍
simon,5,橙汁雞排飯肉很厚實，奶茶口感好。
黑夜白月,4,難得的健康港食，或許香港人的人均壽命高就是因為吃這樣的港式料理？
Vanessa Wei,4,老闆正港廣東人有在香港吃茶餐廳的錯覺，服務快速又好
雁雁,3,要點對食物
Luna Kuo,5,蘿蔔糕入口即化看得到蘿蔔絲 很美味～
Helen Tseng (Miss Langley),5,凍鴛鴦真的像我在香港喝到的味道。臺灣還有其他地方更像的嗎？我不知道。
Xena Chong,5,味道很正宗，老闆人也超級好！！
游逆逆,3,公仔麵與其他茶餐廳比略遜，或許其他餐點才是主力
丁曾珣,4,喜歡豬扒包及例湯。座位雖多，但吃飯時間常需要等待座位。
小蠟燭,2,"嗯…很豐富…我看到水杯沒change,直接翻桌，當下我在喝水，不知道是不是我資訊不足"
Ying,4,選擇很多，比較喜歡的有麻婆豆腐飯，餐肉蛋飯還有橙汁/咖哩雞排飯，雞排很大
Nick Cheng,5,餐點好吃，菜色種類多樣，很地道的港式餐廳。
吳阿豪,4,餐點美味，進到店裡用餐速度自動會加速1.5倍
Nicole Wang,5,上菜極快，東西好吃很少有雷，環境極乾淨。大推
Hendry Chen,4,非疫情期間排隊人潮較多，可以一吃的港式餐廳。
小莫,1,很不好吃，不推薦，稍微便宜但口味實在不好
貴貴,4,物美價廉，服務很親切！但是座位實在太擁擠。
Xin N.,5,"整體都蠻好吃
人多但整體態度不錯
很多都想嚐嚐"
ZXOEY,5,服務很周到，XO蘿蔔糕好吃，多樣選擇，不貴，吃很飽飽。
Robert Lu,4,整體上不錯，但楊汁甘露不好喝，放木瓜苦苦的。
Amber W.,4,點心品項很少，快餐為主。鍋鑊氣很不錯
Paul w,4,乾炒河粉吃得出師父炒功很有功力，有火味不油膩👍🏻 …
羅元婷,3,炒飯類都算普通，蘿蔔糕跟煎腸粉比較好吃
May Wei,5,"很在地的港式茶餐廳！
港式蘿蔔糕的味道很對味！"
Yeh Sunny,1,外帶份量超級無敵無敵無敵少，我家女孩都吃不飽🤔 …
楊俊德,3,服務客氣有禮貌，餐點口味較重且單一。
江國瑋,5,"老闆很熱情❤️
餐點都很好吃😋"
GEORGE LIN,4,不錯的港式茶餐廳 不死鹹 常常客滿 值得一試
孫振元,4,"第一次光顧茶餐廳，覺得還可以。
聽說7月底要搬家了..."
ia n,5,來吃好幾次了，平價又好ㄘ～( ´▽` )ﾉ
Charlie CY Chen,4,餐點不錯，但吃的有點趕。(店家整理桌子的速度很快)
劉華泰,4,口味道地港式 上菜快 每日有套餐實惠選擇 不錯的茶餐廳
BriMakesYouFun,5,好吃的香港茶餐廳，雖有點台式改良，但不變的香港味道，讚！！
TSENG why,5,特餐也值得推薦
碧白陆,5,"出餐速度神速！
好吃廣東炒麵料很豐盛！"
ya fang liu,5,大推，老板和服務人員很熱情很親切，食物很讚
K Katie,5,很有特色的港式正餐，吃下午茶的茶點也很合適
UetNo aksw,4,人員服務好，態度佳，餐點多樣可供選擇，美味可口。
餃子125063@h.tmu.edu.tw,3,東西味道還不錯    價格稍高     服務人員態度不好   很不尊重客人
Tellingtree Chen,4,不是飲茶的茶餐廳，而是比較像排檔之類的餐廳，東西不錯吃，推薦公仔麵
Elson Tai,4,好吃，份量足。只是不斷來收東西，影響用餐
Casey Tseng,4,選擇種類多、很好吃，也有搭配飲料的特餐可以選擇，推！
Henry Chen,3,要排隊，吃的有點急，就感覺不到美味。
Al,5,餐點不錯，服務很港式
Jones YAO,4,蘿蔔糕好吃，素食的其他還好。
Colin Jao,3,料理很多……也有一些簡單的港點……只是位子狹小，坐起來不舒服！
Pine Apple,5,法蘭西多士 好吃
Bobo Hsu,5,單價有點高，但好吃就沒什麼關係了！
RSN-死特,5,老闆人超好 東西超好吃 真的要來
Jane,5,"雞蛋三文治超好吃的，奶茶很好喝~
其他的也都蠻好吃的~"
Ben Ting,5,好吃！雞蛋三明治的蛋超嫩，凍鴛鴦也很夠味
A Sasa,5,"東西非常的地道，食物好吃👍🏻
人員態度也都很好哦 …"
white kuo,5,好吃～服務人員親切～五星好評👍🏻 …
江櫚源,4,很好吃的香港美食而且有很多菜可以選擇
white kuo,5,好吃～服務人員親切～五星好評👍🏻
張學平,4,典型港式餐館，菜色豐富，價格公道，食材新鮮，口味佳。
Sky L,4,服務態度佳，東西份量大，口味個人覺得還ok
k鍵,5,港式餐點種類且好吃 生意很好 用餐時間需等候
Austin,5,東西好吃廁所乾淨服務態度佳馬女生覺得員工很帥
Agnes,5,多次到此用餐 餐點好吃
Hong,5,好吃，道地的港式平民餐飲。餐肉蛋豬排飯，好吃👍 …
BK,5,出餐超快！又超好吃，肚子餓來這就對了。
Meng Yun Chan,4,"千萬別點蒸飯類，你會後悔
其他東西還不錯"
cc lou,4,吃30 年的老客戶，跟老闆說... 您們的炒飯走味了！
士屏Tony,4,好吃美味，但客人多，吃起來挺趕的
夏雪（Sherry）,4,"曾有認識的網友在這當大廚
餐點也好吃"
薇薇,5,"老闆 老闆娘親切
東西也好吃
推薦"
黃舜華,3,餐飲種類不少，味道還可以，價位尚可。
Kay Chiang,5,"家庭式的港式飲茶
青菜的醬料很香、微甜"
昱群江,4,好吃的茶餐廳，廣州炒麵跟炒蘿蔔糕很推。
Yuping Chen,5,讓你不用去香港，就可常吃到，人員親切，上菜快，餐點道地
jennifer Lee,1,今日晚上到店用餐，生意很好，所以變得服務態度超級差（？！傻眼貓咪
龍鏡元,5,好吃平價的港式料理，相當符合台灣人的口味
林友康,4,還是打4顆星就好，避免太多人來
謝孝德,5,推薦XO炒牛肉公仔麵，奶茶很濃郁。
命帶天廚魂喜好好味無廣純享,5,"很好吃😋的港式茶餐廳
有套餐$160配凍檸茶很好喝 …"
Hsuan-Yu Wu,4,好吃服務又好，但稍微有點貴，用料紮實，好吃
Meng Huang,4,還不錯 ，150左右/人 ，可以分食 。喜歡肥牛麵
吳貞儀,5,超級道地好喜歡
崔偉財,5,品項豐富，道地好吃，服務親切，價格公道。
Yumi Chen,4,送餐很快，會再次回訪的平價港式茶餐廳。
YuJen Huang,5,"物美實在，老闆很親切，
每次去都有賓至如歸的感覺"
蘇淑媛,4,服務親切，上菜速度快，口味尚可，價位中等。
dreska ng,5,"便宜好吃出餐快
肉餅飯好吃，涷檸茶好喝，香港的味道"
Thomas Chang,5,道地港式茶餐廳。
張世穎（Shing）,5,"連當地人都覺得好吃的到地店家
我也覺得好吃"
Merry Chang,5,牛肉炒麵，麵脆味足。奶茶，例湯皆好喝。
Lucky Lai,4,道地便宜，這個價格跟口味在台北cp值超高了
李鎮洲,5,口味數十年如一日的好口味👍
Pin Pige,5,"滑蛋牛肉燴飯 , 濃稠、肉份量足夠 , 真美味 !"
claire,5,推薦每日套餐，偶爾可吃到菜單上點不到的餐點
賴怡君,4,道地港式餐點，上菜迅速。推薦蘿蔔糕、蝦米腸粉
Mic liou,4,不錯很港會再來
Chao米,4,"不經意外帶招牌奶茶冰過再飲,口感更好耶"
Tommy C (Anon-T),4,在台北算是一個解思鄉毒的最佳選擇。味道不太變！
Mystikistis,3,還不錯 價錢親民 腐皮捲不錯 但有點偏油
王宛如（Joyce）,4,炒Xo牛肉公仔麵大致上不錯，不過缺了點辣
Jay Huang,1,一星是因為只有一隻
Yun-Shan Han韓芸珊,1,奶油起司豬排公仔麵 只有吃了豬排 麵一口都沒動⋯
Annie Chang,4,菜色很多樣 店員會體貼提醒雨傘雨衣要帶走
MR BIG HUANG,5,午餐肉蛋飯，炒飯類，豆豉蒸排骨覺得極讚美味。
爸爸在幹嘛,5,經典 好吃 也不用太多推薦 來吃就對了
Mancer Wang,3,其實其他東西還不錯⋯但臘味蒸飯頗雷嗚嗚
Lancelot Wang,4,到目前為止，在台北市區內，與香港地區茶餐廳口味最相近的鴛鴦。
Melody Hung,5,上菜速度快東西超好吃店員服務好
Wade,4,口味不錯 不精緻 位置不好做 但便宜
GEN SJ,5,推～價格合理。又好吃，飯後來個法蘭西多士👍 …
張藝耀 Changyiyao,5,吃了超過十年的道地港式茶餐廳，推薦。
Ariel Wang,5,"東西好吃，店員老闆都超nice,整個cp值超高"
Tsai Jei,5,好吃～～但人很多有時要等很久
yen kuanjen,5,好吃菜色種類多，CP值高出餐快。
韓靖,5,餐點好吃，腸粉很不一樣
chen wu,5,已經不知道吃過幾次了，好吃😋
Rui-Yi Jheng,5,滿好吃的，服務生很港式
徐遠猷,4,換地方了，原來地址要危老更新，我還是覺得好吃
大肉牛,5,牛肉蛋湯麵！！！大推！喜歡公仔麵的絕對不能錯過。
WenChin Li,5,不管是聚餐，還是單獨一人前往，都很適合。
Mike Liu,4,祥發吃膩了可以來這裡走一趟，你不會失望
Tsai Chunyeh,4,很乾淨，餐點也很多選擇，味道也還不錯
Hundred Fu,5,鹹魚雞丁好吃好吃，炒高麗菜是大火炒的香氣好吃！
Jazz shi,4,有每日特餐優惠，推薦雞湯香濃，炒飯一般
Gary Yu,3,食物不錯，但是生意好到吃東西有壓力
Aimie Huang,5,送餐速度快、餐點好吃，下次還會再去！
洪珮雯護理師,5,蘿蔔膏、炒飯、楊枝甘露 好吃
LILLIAN LIU,3,價格公道餐點選擇多味道也很好！
楓噓（I）,4,"楊枝甘露 好難食 同香港差十萬八千里
小菜好食 同翠華差唔多價錢"
麥麥麥麥,3,吃過一次，上菜速度很慢，料理中上
Jumbo Chiang,5,口味很好，態度親切，豆沙煎餅很棒
Patty Wu,1,沒那個價值，服務生很像一直在趕人，太貴
林群欣,4,咖哩綜合的鴨血很讚，桌上的辣椒很提味
Ashley,4,"東西好吃 但偏油
（又漲價了）"
Fiona Lu,3,口味普通，服務人員訓練有點不足，用餐環境有點吵鬧
Boris,3,"乾炒牛河味道有點太淡
上色不均勻"
Joey Kao,1,真的不好吃啊，怎麼每次都大排長龍？不解
Tony Lo,5,"老闆娘很熱情
東西很好吃
值得一訪"
